#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-01-29T15:41:41 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61f55e983eb8ef	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:B/gcvs&tab:{B/gcvs/gcvs_cat}&key:source=B/gcvs/gcvs_cat&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/gcvs/gcvs_cat
#-order=I
#-out=GCVS
#-out=n_GCVS
#-out=RAJ2000
#-out=DEJ2000
#-out=VarType
#-out=magMax
#magMax=<14.2
#-out=Epoch
#-out=Period
#Period=<3
#-out=SpType
#-out=Exists
#-out=VarName
#AFOEV=AFOEV
#Simbad=Simbad
#

#RESOURCE=yCat_102025
#Name: B/gcvs
#Title: General Catalogue of Variable Stars (Samus+, 2007-2017)
#Table	B_gcvs_gcvs_cat:
#Name: B/gcvs/gcvs_cat
#Title: GCVS catalog (GCVS 5.1, version Oct, 2020)
#Column	GCVS	(A10)	Variable star designation (2)	[ucd=meta.id;meta.main]
#Column	n_GCVS	(A1)	[*] indicates a remark in "gcvs_rem.dat" file	[ucd=meta.note]
#Column	RAJ2000	(A11)	? Hours RA, equinox J2000.0 (G1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Degrees Dec, equinox J2000.0 (G1)	[ucd=pos.eq.dec;meta.main]
#Column	VarType	(a10)	Type of variability (see file "vartype.txt")	[ucd=meta.code;src.var]
#Column	magMax	(F6.3)	? Magnitude at maximum brightness	[ucd=phot.mag]
#Column	Epoch	(F11.5)	? Epoch for maximum light, Julian days (G5)	[ucd=time.epoch]
#Column	Period	(F16.10)	? Period of the variable star	[ucd=time.period]
#Column	SpType	(a17)	Spectral type	[ucd=src.spType]
#Column	Exists	(A12)	Cases of non-existence of the variable etc. (12)	[ucd=meta.note]
#Column	VarName	(A11)	Variable star designation (17)	[ucd=meta.id]
GCVS|n_GCVS|RAJ2000|DEJ2000|VarType|magMax|Epoch|Period|SpType|Exists|VarName
DU And    |*|02 30 31.27|+40 50 33.3|RRAB      |12.870|48210.70000|    0.6068600000|F5               |            |DU    And
DY And    |x|23 58 42.16|+41 29 19.7|RRAB      |12.730|50656.83100|    0.6030870000|                 |            |DY    And
EP And    |*|01 42 29.33|+44 45 42.4|EW        |11.300|42638.52200|    0.4041075500|                 |            |EP    And
ET And    |*|23 17 56.01|+45 29 20.1|ACV       | 6.480|           |    1.6188750000|B9pSi            |            |ET    And
EX And    |*|23 39 51.94|+47 45 02.2|EA        |12.700|52500.26800|    1.6324980000|                 |            |EX    And
FI And    |x|00 56 39.88|+37 15 48.5|RRAB      |13.780|48156.60000|    0.5648150000|                 |            |FI    And
FK And    |x|01 07 03.12|+37 29 05.3|EA        |14.000|38641.50000|    2.2694100000|                 |            |FK    And
FM And    |x|01 08 46.81|+36 37 24.4|RRAB      |13.450|50348.73900|    0.6954950000|                 |            |FM    And
GK And    |*|23 53 47.20|+45 34 45.9|EA        |11.300|52501.74500|    2.0093160000|                 |            |GK    And
GM And    |x|00 00 03.65|+35 21 46.3|RRAB      |12.430|47548.62800|    0.7067585000|                 |            |GM    And
GN And    |*|00 30 07.37|+29 45 05.6|DSCTC     | 5.230|           |    0.0693041150|A9IV             |            |GN    And
GO And    |x|00 50 18.26|+45 00 08.1|ACV       | 6.120|           |    2.5481000000|A0pSrCrEu        |            |GO    And
GP And    |*|00 55 18.15|+23 09 49.4|DSCT      |10.530|47005.61456|    0.0786827620|A3               |            |GP    And
GV And    |x|23 13 12.56|+36 54 04.0|RRAB      |13.070|48156.73000|    0.5280920000|                 |            |GV    And
GZ And    |*|02 12 14.10|+44 39 34.0|EW        |10.830|52500.12110|    0.3050169000|                 |            |GZ    And
HK And    |x|00 46 31.90|+45 05 47.0|RRAB      |13.600|51449.82000|    0.5101200000|                 |            |HK    And
HS And    |*|00 34 33.84|+41 20 05.0|EA        |12.700|52500.50450|    1.8571884000|                 |            |HS    And
IY And    |x|01 02 52.34|+45 11 23.2|RRAB      |13.800|40811.50600|    0.4854300000|                 |            |IY    And
KK And    |x|01 34 16.61|+37 14 13.7|ACV       | 5.910|           |    0.6684000000|B9IVpSi          |            |KK    And
KN And    |x|02 36 08.79|+38 09 21.7|EA        |11.700|52502.25580|    2.2621866000|                 |            |KN    And
KP And    |*|23 09 56.45|+41 35 03.5|EA        |11.500|51408.70800|    1.4053800000|A0               |            |KP    And
LM And    |*|02 11 09.32|+48 51 34.0|EB        |12.200|53268.46500|    0.7611836000|                 |            |LM    And
LO And    |*|23 27 06.68|+45 33 22.1|EW        |11.200|52500.25050|    0.3804427000|                 |            |LO    And
LQ And    |*|23 58 46.44|+46 24 47.5|BE        | 6.500|           |    0.3094460000|B4Ven            |            |LQ    And
LR And    |*|00 22 49.88|+29 27 15.4|ELL       | 7.100|44854.88000|    1.4323210000|A3V              |            |LR    And
LY And    |x|02 21 52.54|+38 37 42.4|EW        |14.100|51576.77600|    0.3450500000|                 |            |LY    And
MO And    |x|02 23 53.67|+39 59 02.8|EA        |13.200|51373.85100|    1.9304600000|                 |            |MO    And
OP And    |x|01 36 27.20|+48 43 22.0|RS:       | 6.270|           |    2.3595400000|K1III:           |            |OP    And
OV And    |*|00 20 44.86|+40 49 41.8|RRAB      |11.380|53335.41800|    0.4705800000|                 |            |OV    And
OZ And    |x|02 06 48.19|+36 26 23.0|RRAB      |14.100|38642.47500|    0.4960326000|                 |            |OZ    And
PW And    |x|00 18 20.90|+30 57 22.0|RS        | 8.670|           |    1.7450000000|K2V              |            |PW    And
PX And    |*|00 30 05.86|+26 17 26.9|E+NL      |14.040|47783.79800|    0.1463500000|pec(UG)          |            |PX    And
QR And    |*|00 19 49.93|+21 56 52.1|EA+NL     |12.160|35799.24700|    0.6604565000|pec(e)           |            |QR    And
QT And    |x|00 41 17.34|+34 25 16.8|BY+UV     | 9.500|           |    1.5360000000|K3Ve             |            |QT    And
QW And    |*|01 18 48.28|+49 39 36.8|EW        |12.600|52500.47400|    0.4918690000|                 |            |QW    And
QX And    |*|01 57 57.78|+37 48 22.5|EW        |11.280|46785.80030|    0.4118160000|F6               |            |QX    And
V0340 And |x|23 34 37.54|+40 14 11.2|DSCTC     | 5.690|           |    0.0630000000|A1Vp             |            |V0340 And
V0342 And |*|00 10 03.19|+46 23 25.1|EA        | 7.580|48500.69330|    2.6393400000|A3               |            |V0342 And
V0350 And |x|00 26 02.69|+35 49 09.4|EA        | 7.560|47947.41300|    1.5388240000|A3               |            |V0350 And
V0357 And |x|00 52 53.38|+38 32 55.8|ELL:      | 6.700|           |    1.6623800000|A2V              |            |V0357 And
V0361 And |*|01 09 45.32|+38 07 28.3|DSCTC     | 7.790|48500.02200|    0.1140500000|F0               |            |V0361 And
V0363 And |x|01 31 46.57|+36 05 38.0|EB        | 9.100|48500.39800|    1.2779900000|A2               |            |V0363 And
V0365 And |x|01 36 46.74|+48 18 55.7|DSCTC     | 7.490|           |    0.1428160000|F0               |            |V0365 And
V0371 And |*|02 02 12.93|+36 43 01.2|BY:       | 8.300|           |    1.4937000000|G5               |            |V0371 And
V0372 And |x|02 05 18.18|+45 05 34.1|EA        | 9.050|51483.58380|    2.9409860000|A5               |            |V0372 And
V0373 And |x|02 05 46.22|+39 45 35.2|DSCTC     | 7.630|           |    0.1128020000|F0               |            |V0373 And
V0376 And |x|02 35 11.63|+49 51 37.2|EB        | 7.680|52500.49200|    0.7986720000|A0               |            |V0376 And
V0380 And |x|23 06 37.05|+42 39 26.5|LPB       | 7.970|           |    1.3767800000|B9               |            |V0380 And
V0382 And |x|23 09 57.97|+42 50 09.3|EB        | 9.160|51402.87100|    1.4789830000|A0               |            |V0382 And
V0388 And |x|23 27 07.40|+42 54 43.2|ACV       | 5.730|           |    1.4793100000|B9Mn             |            |V0388 And
V0394 And |x|23 41 20.24|+46 51 36.2|LPB       | 7.400|           |    1.7776000000|B9               |            |V0394 And
V0395 And |*|23 44 32.14|+46 22 48.6|EW        | 7.550|48699.99450|    0.6847000000|A0               |            |V0395 And
V0396 And |x|23 51 33.44|+47 29 15.9|DSCTC     | 7.920|           |    0.1047310000|F0               |            |V0396 And
V0404 And |x|01 01 24.37|+41 15 00.7|EA/RS     |10.300|52500.31400|    0.6760332100|                 |            |V0404 And
V0405 And |x|02 22 25.96|+47 29 19.4|RS        |11.000|           |    0.4654300000|M0Ve+dM5e        |            |V0405 And
V0406 And |x|02 35 25.61|+45 56 03.1|EB        | 9.220|52500.27000|    2.1650320000|B8               |            |V0406 And
V0409 And |x|23 27 15.85|+40 01 23.6|ZZO       |14.100|           |    0.0247700000|DO               |            |V0409 And
V0412 And |x|23 53 38.99|+45 37 22.1|EA        |11.950|51507.72000|    1.9087100000|                 |            |V0412 And
V0419 And |*|02 09 02.33|+39 35 32.3|DSCTC     | 9.140|           |    0.0540000000|F0               |            |V0419 And
V0422 And |x|23 07 57.14|+50 11 43.9|EB        |13.400|51535.71500|    1.0155849000|                 |            |V0422 And
V0425 And |x|23 27 37.31|+50 17 16.2|EA        |13.300|51307.38000|    1.4207430000|                 |            |V0425 And
V0440 And |x|00 26 49.45|+41 49 08.6|EA        |12.640|52900.10190|    1.5826000000|                 |            |V0440 And
V0441 And |x|00 56 44.23|+41 29 22.8|EW        |13.480|52930.96020|    0.4696000000|                 |            |V0441 And
V0444 And |x|01 15 28.73|+41 19 59.0|EW        |13.040|52914.28610|    0.4688000000|                 |            |V0444 And
V0447 And |x|01 58 53.93|+37 34 42.6|RS        |13.390|           |    1.9500000000|                 |            |V0447 And
V0449 And |x|02 09 46.85|+46 43 17.3|EW        |12.200|51370.87700|    0.3385300000|                 |            |V0449 And
V0452 And |x|23 18 59.19|+48 31 30.1|EB        |13.700|52958.08260|    0.9784000000|                 |            |V0452 And
V0458 And |x|01 44 02.14|+48 02 43.1|EA        |12.200|51515.89700|    2.2904000000|                 |            |V0458 And
V0460 And |x|02 34 14.26|+42 14 27.6|DSCT      |13.200|51455.11400|    0.0749808000|F5:              |            |V0460 And
V0463 And |x|23 20 13.87|+37 08 39.7|EB        |12.150|51446.88900|    0.4060950000|                 |            |V0463 And
V0470 And |*|00 12 50.25|+37 41 37.2|LPB       | 6.660|           |    2.7472500000|B2V              |            |V0470 And
V0471 And |x|00 13 57.59|+35 02 43.4|RS        |11.500|           |    2.5730000000|                 |            |V0471 And
V0472 And |x|00 15 50.06|+41 28 03.0|EB        |12.850|53708.64000|    0.8504450000|                 |            |V0472 And
V0473 And |x|00 16 05.37|+41 51 24.1|EW        |13.370|53657.73500|    0.4012990000|                 |            |V0473 And
V0474 And |x|00 16 50.06|+43 44 56.0|EW        |13.180|55869.57600|    0.5204200000|                 |            |V0474 And
V0476 And |x|00 18 25.00|+23 24 34.3|RS        | 9.930|           |    1.5371000000|G0               |            |V0476 And
V0477 And |x|00 18 31.34|+30 25 57.6|EW        |13.250|56186.95100|    0.3626500000|                 |            |V0477 And
V0478 And |*|00 18 55.87|+22 39 40.2|DSCT      |10.380|           |    0.0960000000|                 |            |V0478 And
V0480 And |x|00 19 12.73|+33 01 11.5|EW        |12.750|51541.89800|    0.5100300000|                 |            |V0480 And
V0483 And |x|00 20 35.27|+40 04 16.8|EW        |11.970|51497.68400|    0.2970700000|                 |            |V0483 And
V0484 And |*|00 21 05.37|+32 29 17.3|EW        |13.000|51492.02000|    0.3490000000|                 |            |V0484 And
V0485 And |x|00 21 19.18|+35 24 15.4|EW        |11.080|51505.70900|    1.0325700000|                 |            |V0485 And
V0487 And |x|00 21 27.00|+30 13 23.0|EB        |11.600|51594.91000|    1.0406800000|                 |            |V0487 And
V0488 And |x|00 22 06.02|+40 31 24.2|EB        |12.550|51512.49200|    0.6821600000|                 |            |V0488 And
V0489 And |x|00 24 39.13|+24 55 22.6|EB        |12.300|52945.60100|    0.4227560000|                 |            |V0489 And
V0492 And |x|00 32 51.80|+26 18 14.6|RRAB      |13.850|55113.90500|    0.5119710000|                 |            |V0492 And
V0502 And |x|00 43 38.29|+30 12 45.0|EW        |13.680|56186.97400|    0.3188800000|                 |            |V0502 And
V0503 And |x|00 43 59.54|+22 09 08.9|RRAB      |13.620|54405.71200|    0.5250690000|                 |            |V0503 And
V0504 And |x|00 45 00.35|+38 43 56.1|EW        |13.030|56237.85300|    0.6480740000|                 |            |V0504 And
V0505 And |x|00 45 38.63|+37 28 29.0|EW        |13.470|54788.64600|    0.3941437000|                 |            |V0505 And
V0506 And |x|00 46 37.75|+31 51 17.3|EW        |13.340|56190.81400|    0.3434489000|                 |            |V0506 And
V0508 And |x|00 47 44.15|+36 02 23.1|EW        |12.150|51464.04000|    0.7752000000|                 |            |V0508 And
V0509 And |x|00 48 36.93|+32 08 59.2|EW:       |12.540|51593.61860|    0.3053840000|                 |            |V0509 And
V0510 And |x|00 49 23.13|+32 00 36.6|EA        |13.450|54788.78300|    1.5869700000|                 |            |V0510 And
V0511 And |x|00 52 14.31|+45 41 26.0|RS:       |11.800|           |    1.2220800000|                 |            |V0511 And
V0512 And |x|00 52 17.30|+35 16 04.2|EA        |11.800|51462.62700|    0.7453200000|                 |            |V0512 And
V0514 And |x|00 54 53.20|+35 28 03.0|EW        |13.900|51463.79200|    0.3669300000|                 |            |V0514 And
V0516 And |x|00 56 03.36|+35 33 57.7|RRC       |11.650|51480.87700|    0.4287100000|                 |            |V0516 And
V0517 And |x|00 56 11.68|+35 49 10.0|EW        |13.040|53674.71700|    0.4905176000|                 |            |V0517 And
V0518 And |x|00 57 28.89|+40 01 43.6|EW        |13.190|56558.89600|    0.3611438000|                 |            |V0518 And
V0521 And |*|01 01 26.52|+38 03 12.8|DSCTC     |11.290|           |    0.1009600000|F0-F2            |            |V0521 And
V0523 And |x|01 05 37.98|+36 49 05.9|EA        |11.900|51478.76500|    0.5285400000|                 |            |V0523 And
V0524 And |x|01 05 47.15|+44 35 03.7|SXPHE     |12.350|51505.70000|    0.0944930000|                 |            |V0524 And
V0525 And |x|01 16 48.08|+34 18 10.4|EA/RS     |11.200|51480.56000|    1.4290000000|                 |            |V0525 And
V0526 And |x|01 21 23.27|+35 50 12.4|EB        |14.030|53674.73000|    0.4855452000|                 |            |V0526 And
V0527 And |x|01 22 35.70|+34 19 35.9|EW        |10.650|51478.85600|    0.7006500000|                 |            |V0527 And
V0528 And |x|01 22 59.81|+36 28 16.7|SXPHE     |12.800|51481.80500|    0.0896130000|                 |            |V0528 And
V0529 And |*|01 27 26.67|+41 06 04.2|GDOR+DSCT | 6.480|           |    0.4033100000|A7Vm             |            |V0529 And
V0530 And |x|01 27 41.05|+33 51 55.5|EB        |12.600|51479.63200|    0.5772300000|                 |            |V0530 And
V0531 And |x|01 30 15.91|+33 39 18.5|EW        |11.400|51484.43700|    0.4063300000|                 |            |V0531 And
V0532 And |x|01 30 25.28|+39 18 29.7|EW        |13.180|55456.96900|    0.3989870000|                 |            |V0532 And
V0533 And |x|01 31 30.48|+38 09 51.8|EB        |13.360|55456.96300|    0.6032573000|                 |            |V0533 And
V0534 And |x|01 31 30.52|+34 55 52.0|EW        |13.790|53643.83700|    0.4072486000|                 |            |V0534 And
V0536 And |x|01 34 28.59|+39 50 25.6|RRC       |13.760|55069.89300|    0.3207500000|                 |            |V0536 And
V0537 And |x|01 35 19.25|+37 46 37.7|EA        |11.400|51476.78300|    0.9007500000|                 |            |V0537 And
V0538 And |x|01 36 14.68|+38 04 34.3|EB        |13.480|54641.95200|    0.5188061000|                 |            |V0538 And
V0539 And |x|01 36 26.20|+40 43 44.4|RS        |12.110|           |    0.4357000000|M0.5V            |            |V0539 And
V0540 And |x|01 37 27.14|+39 00 08.4|RS        |10.430|           |    1.0616000000|                 |            |V0540 And
V0542 And |x|01 40 28.78|+42 12 00.9|RS        |10.280|           |    1.0605000000|K0V              |            |V0542 And
V0543 And |x|01 42 25.32|+37 55 24.8|EA        |11.000|51475.66500|    0.9264000000|                 |            |V0543 And
V0544 And |x|01 44 27.97|+37 58 53.7|SXPHE     |12.900|           |    0.1069400000|                 |            |V0544 And
V0546 And |x|01 51 12.58|+43 49 07.6|EW        |11.230|51475.61320|    0.3830300000|                 |            |V0546 And
V0547 And |x|01 52 03.01|+37 48 08.7|EA/RS     |11.380|51574.62800|    1.9530000000|                 |            |V0547 And
V0548 And |x|01 54 55.85|+42 12 57.0|RRAB      |12.250|53734.71700|    0.5068510000|                 |            |V0548 And
V0549 And |x|01 55 18.33|+40 55 33.1|EW        |13.900|53686.75500|    0.3159680000|                 |            |V0549 And
V0550 And |x|01 56 08.22|+43 17 29.6|RRAB      |12.570|51463.78800|    0.7790300000|                 |            |V0550 And
V0560 And |*|02 01 29.99|+44 29 14.8|EA        |13.910|54713.47290|    0.8850800000|                 |            |V0560 And
V0563 And |x|02 02 40.08|+36 42 40.8|EW        |13.700|56263.75100|    0.3057893000|                 |            |V0563 And
V0564 And |x|02 03 08.39|+44 10 23.4|EW        |13.980|54774.37130|    0.3917700000|                 |            |V0564 And
V0565 And |x|02 03 27.81|+44 14 51.1|EW        |12.170|54775.58700|    0.3272000000|                 |            |V0565 And
V0566 And |x|02 07 20.03|+35 38 55.4|EW        |10.850|51478.78000|    0.3897000000|                 |            |V0566 And
V0568 And |x|02 13 05.43|+40 49 31.1|EW        |13.900|55892.87000|    0.3942550000|                 |            |V0568 And
V0569 And |x|02 14 40.65|+49 53 19.0|RRAB      |12.450|51425.75000|    0.5528400000|                 |            |V0569 And
V0571 And |x|02 19 13.83|+37 54 05.2|EW        |13.650|51512.95400|    0.3576400000|                 |            |V0571 And
V0573 And |x|02 24 52.46|+42 26 53.8|RS:       |13.800|           |    2.0452000000|                 |            |V0573 And
V0575 And |x|02 28 44.32|+37 28 59.3|EW        |12.000|51504.76000|    0.6780000000|                 |            |V0575 And
V0577 And |x|02 38 57.31|+44 44 23.1|RS        |11.570|           |    2.7160000000|G                |            |V0577 And
V0579 And |x|22 59 11.09|+36 21 17.8|EW        |12.500|51448.64300|    0.3381340000|                 |            |V0579 And
V0585 And |x|23 01 48.63|+44 48 29.2|EB        |12.910|51444.67800|    0.7389300000|                 |            |V0585 And
V0590 And |x|23 03 25.74|+44 12 13.6|EA        |13.050|51390.74000|    2.6670000000|                 |            |V0590 And
V0591 And |x|23 03 42.56|+53 00 14.2|EA        |13.740|53292.10900|    2.6525000000|                 |            |V0591 And
V0593 And |x|23 03 44.07|+36 15 22.9|EW        |12.800|54831.60600|    0.3721770000|                 |            |V0593 And
V0595 And |x|23 04 18.55|+48 19 48.0|RRC       |13.000|51375.74000|    0.2008500000|                 |            |V0595 And
V0597 And |x|23 06 04.06|+48 35 24.9|EW:       |11.690|51442.68600|    0.4677500000|                 |            |V0597 And
V0599 And |x|23 06 21.64|+44 12 18.3|EA        |12.700|51337.89700|    1.0981000000|                 |            |V0599 And
V0600 And |x|23 06 36.24|+47 15 30.6|EW        |12.300|55135.58210|    0.3967700000|                 |            |V0600 And
V0601 And |x|23 06 38.13|+49 23 27.6|EA        |11.730|55441.35200|    1.2121000000|                 |            |V0601 And
V0611 And |x|23 09 19.93|+48 14 47.5|EB        |13.560|51566.60000|    0.5864000000|                 |            |V0611 And
V0613 And |x|23 10 12.42|+47 34 14.2|EA        | 9.150|55823.33300|    1.8757980000|A5               |            |V0613 And
V0622 And |x|23 13 26.28|+44 01 26.1|DSCT      |11.000|           |    0.1687800000|                 |            |V0622 And
V0625 And |x|23 15 40.32|+36 08 52.8|EW        |13.980|53684.60600|    0.2495841000|                 |            |V0625 And
V0627 And |x|23 16 09.85|+48 01 29.9|EB        |10.670|51478.64200|    1.2224000000|                 |            |V0627 And
V0629 And |x|23 16 52.98|+44 29 18.3|EA        |11.200|51535.70800|    0.7426000000|                 |            |V0629 And
V0633 And |x|23 19 18.70|+39 47 34.9|EW        |13.840|53694.66000|    0.2968971000|                 |            |V0633 And
V0634 And |x|23 19 22.33|+36 49 09.4|EB        |14.060|55159.74000|    0.5774022000|                 |            |V0634 And
V0638 And |x|23 19 50.53|+44 07 33.4|EW        |11.520|51375.86000|    0.3327100000|                 |            |V0638 And
V0641 And |x|23 21 24.00|+40 21 59.1|EB        |13.400|53686.68300|    0.6949290000|                 |            |V0641 And
V0643 And |x|23 21 45.33|+45 52 08.7|EA        |12.700|51576.65000|    1.5098000000|                 |            |V0643 And
V0645 And |x|23 23 00.63|+49 14 33.8|EW        |13.050|51478.64000|    0.4125500000|                 |            |V0645 And
V0648 And |x|23 23 51.92|+39 32 33.7|EB        |13.000|54012.72000|    0.5321198000|                 |            |V0648 And
V0649 And |x|23 24 29.12|+47 43 50.0|EA        |11.550|51467.80000|    1.6116000000|                 |            |V0649 And
V0651 And |x|23 24 48.90|+48 30 07.3|EA        |12.380|51455.82000|    1.2138000000|                 |            |V0651 And
V0660 And |x|23 27 52.08|+44 54 14.9|RRC       |12.220|51404.69000|    0.3854200000|                 |            |V0660 And
V0662 And |x|23 28 27.50|+45 22 40.3|EA/RS     |10.650|51464.80000|    1.7176000000|                 |            |V0662 And
V0664 And |x|23 28 59.50|+35 24 43.7|EW        |12.580|51425.64400|    0.4211000000|                 |            |V0664 And
